Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,dry_run,epochs,folds,log_interval,lr,seed,epoch,final_val_accuracy,mean_validation_accuracy,train_loss,training_time,val_loss
2024-05-06 21:49:03,34.5s,0f5c1a3beec941ed828ae1c2ed5a88e5,fold_4,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,32,False,10,5,10,0.001,1,9,0.7944444444444444,,0.19134895503520966,25.430971,0.9885155558586121
2024-05-06 21:48:27,35.8s,cb8807342d7848f48e29413e30f0f891,fold_3,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,32,False,10,5,10,0.001,1,9,0.7777777777777778,,0.0007915131282061338,26.956276,1.054587721824646
2024-05-06 21:47:50,36.6s,0c22e03c889446069707e71d5f5ef3f2,fold_2,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,32,False,10,5,10,0.001,1,9,0.7666666666666667,,0.02519303187727928,27.388426,2.0759737491607666
2024-05-06 21:47:14,36.0s,bddfaa4182924088b16b7083753c9d6a,fold_1,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,32,False,10,5,10,0.001,1,9,0.7166666666666667,,0.40131261944770813,27.053844,2.5934503078460693
2024-05-06 21:46:37,36.7s,039cf0f75d1e4640aa857953df34675a,fold_0,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,32,False,10,5,10,0.001,1,9,0.7777777777777778,,0.14795000851154327,27.53457,1.179228663444519
2024-05-06 21:46:36,3.0min,0bfaabdad0f644edbc04398167beade1,2024-05-06-21-46-35,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,32,False,10,5,10,0.001,1,,,0.7666666666666666,,,
2024-05-06 21:45:03,30.7s,f590ac52d8864ba2b8f4480e499bfc21,fold_4,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,64,False,10,5,10,0.001,1,9,0.8222222222222222,,0.00040354160591959953,21.426966,0.6568421721458435
2024-05-06 21:44:32,30.7s,8150eaae5fa443b08dca346027ea8476,fold_3,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,64,False,10,5,10,0.001,1,9,0.7944444444444444,,0.0007396906148642302,21.62027,0.8762427568435669
2024-05-06 21:44:01,30.4s,390f6fe4b32f4aecb30db251f44c17cb,fold_2,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,64,False,10,5,10,0.001,1,9,0.7833333333333333,,0.0002903951099142432,21.353105,1.407436490058899
2024-05-06 21:43:30,31.0s,d4c50d1c064249f1be075fb8a22a0564,fold_1,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,64,False,10,5,10,0.001,1,9,0.8,,0.006812449544668198,22.123693,0.8854647874832153
2024-05-06 21:42:59,31.0s,95a5ad0779524b0a8e67bea668596393,fold_0,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,64,False,10,5,10,0.001,1,9,0.7722222222222223,,0.0025274965446442366,21.90714,1.07124924659729
2024-05-06 21:42:58,2.6min,4cfaba601c0d476d9ad0ed7ec3754f9c,2024-05-06-21-42-57,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,64,False,10,5,10,0.001,1,,,0.7944444444444445,,,
